Date,SKU Codes,Product Name,Type,Unit MRP,MRP for Pack Size,Unit PP,PP for Pack Size,Selling Price,NTR,Supplier
06-02-2023,PEELTEMP240,Saffola 5ltr+1. MRP 1170,DR0,1170,1170,959.4,959.4,,-1,Badri
06-02-2023,PULFLOAAS0000541,Aashirvaad Whole wheat Chakki fresh 5Kg,DR2,318,318,202,202,,-1,Arjan Singh/Narula
06-02-2023,RICBOIDAA0000762,"Daawat Rozana Super 90 Basmati Rice 1kg, (Pack of 3)",DR2,98,294,195,585,,-1,Arjan Singh
06-02-2023,BEABATLUX0000629,LUX PINK 3x150GM,DR1,198,198,137,137,,-1,Badri
06-02-2023,BEABATLUX0000718,LUX WHITE 3x150GM,DR1,198,198,137,137,,-1,Badri
06-02-2023,BEABATDET0000769,"Dettol Soap MRP 10, (Pack of 30)",DR1,10,10,255,255,,-1,Narula
06-02-2023,BEAHAIPAR0000721,"Parachute 100ml Jar, (Pack of 10)",DR1,44,44,347.6,347.6,,-1,Badri
06-02-2023,BRASPRHER0000620,Hershey's Chocloate Syrup 200Gms,DR1,95,95,68,68,,-1,Badri
06-02-2023,BEABATLIF0000573,"Lifebuoy Handwash 750 ML, (Pack of 2)",DR1,199,398,360,720,,-1,Walmart
06-02-2023,PEELTEMP246,TATA GOLD 500GM,DR1,325,325,225,225,,-1,Badri
06-02-2023,BRANOOMAG0000491,"Maggi 2-Min Masala Instant Noodles, 56 Gms (Pack of 96)",DR1,10,960,855,855,,-1,Ramesh Agencies
06-02-2023,BRANOOYIP0000492,"Sunfeast Yippee Masala Noodles, 70 Gms, (Pack of 96)",DR1,14,1344,830,830,,-1,Aggarwal
06-02-2023,BRASPRDAB0000768,Dabur Honey 225 gms Squeezy,DR1,210,210,185,185,,-1,Walmart
06-02-2023,BRASPRDAB0000794,Dabur Honey 250 gms plastic jar,DR1,120,120,107,107,,-1,Walmart
06-02-2023,BEVENEHOR0000716,HORLICKS CHOCOLATE JAR 500G,DR1,249,249,174,174,,-1,Badri
06-02-2023,BEVENEBOU0000766,BOURNVITA 1 KG POUCH,DR1,395,395,343.65,343.65,,-1,Narula
06-02-2023,BEVTEARED0000656,RED LABEL NATURE CARE 500G,DR1,300,300,238,238,,-1,Badri
06-02-2023,BRACERSAF0000742,Saffola Oats 1KG+300gm Free (Pack of 2),DR1,215,430,324,648,,-1,Badri
06-02-2023,BEVTEATAT0000666,TATA PREMIUM 1 KG,DR1,510,510,320,320,,-1,Badri
06-02-2023,PEELTEMP248,Whisper choice MRP 32 ,DR1,32,32,24.32,24.32,,-1,Badri
06-02-2023,CLEDETSUR0000549,SURF EXCEL 1KG,DR1,134,134,113.3333333,113.3333333,,-1,Badri
06-02-2023,BRACERQUA0000654,Quaker Oats 1Kg,DR1,199,199,172,172,,-1,Walmart
06-02-2023,CLEDETSUR0000662,SURF EXCEL EASY WASH 500GM  ,DR1,67,67,57.5,57.5,,-1,Badri
06-02-2023,PEELTEMP241,Stay free Secure XL MRP 36,DR1,36,36,27.36,27.36,,-1,Badri
06-02-2023,CLEDETTID0000667,Tide detergent powder 1KG,DR1,128,128,107.52,107.52,,-1,Narula
06-02-2023,CLEALLHAR0000578,"HARPIC BLUE 1LTR, (Pack of 2)",DR1,215,430,361.2,722.4,,-1,Sehgal
06-02-2023,CLEALLHAR0000550,"Harpic Original 500 Ml, (Pack of 3)",DR1,99,297,243.54,730.62,,-1,Badri
06-02-2023,BRABISBRI0000592,Britannia good day butter rs.10,DR1,10,120,100.8,1209.6,,-1,Sehgal
06-02-2023,BEABATDOV0000770,DOVE Soap SET 125G*3 ,DR1,280,840,612,1836,,-1,Badri
06-02-2023,BEAHAIDAB0000767,DABUR AMLA 25ML 10/-(432),DR1,10,100,75,750,,-1,Narula
06-02-2023,CLEALLLIZ0000772,"Lizol Citrus Floor cleaner 1 Ltr, (Pack of 2)",DR1,220,440,368,736,,-1,Walmart
06-02-2023,PEELTEMP239,RIN BAR (250*6),DR1,160,960,792,4752,,-1,Badri
06-02-2023,CLEDETVIM0000687,Vim Drop Liquid (Pack of 6),DR1,20,120,102,612,,-1,Badri
06-02-2023,PEELTEMP236,"Parle G MRP 5, (Case)",DR1,5,720,653.76,94141.44,,-1,Walmart
06-02-2023,BEAHAIGOD0000771,"Godrej Hair Dye, (Pack of 6)",DR1,35,210,186,1116,,-1,Walmart
06-02-2023,PEELTEMP223,"Vim liquid 500 Ml, (Pack of 3)",DR1,125,375,300,900,,-1,Metro
06-02-2023,PEELTEMP252,"Nescafe 50 gms Poly Pack, (Pack of 3)",DR1,160,480,441,1323,,-1,Walmart
06-02-2023,PEELTEMP251,"Nescafe 100 gms Poly Pack, , (Pack of 3)",DR1,300,900,825,2475,,-1,Badri
09-02-2023,CLEDETARI0000574,Ariel Matic Powder 4Kg + 2Kg Fl,DR1,,1525,,1270.8,,-1,
09-02-2023,BEAHAICLI0000734,Clinic Plus 175 ml (Pack of 2),DR1,,230,,178,,-1,
09-02-2023,BEAHAIDAB0000767,Dabur Amla 25Ml (Pack of 10),DR1,,100,,75,,-1,
09-02-2023,BEABATDET0000769,Dettol Soap (Pack of 30),DR1,,300,,255,,-1,
09-02-2023,BEAHAIDOV0000681,"Dove Daily Shine 650 ML, (Pack of 2)",DR1,,1480,,725.2,,-1,
09-02-2023,BEAHAIDOV0000682,"Dove Hairfall 650 Ml, (Pack of 1)",DR1,,740,,370,,-1,
